Feature,Coefficient
Country_Australia,-0.7326769570314375
Country_UK,0.48981174862967786
Country_Mexico,-0.4675062445905301
Country_South Africa,-0.43306816159758155
Country_Russia,-0.3724823229793673
Country_USA,0.35556170236628903
Country_Brazil,0.30462298805491644
Country_France,0.23797446711848583
Country_China,0.22011252121759978
Country_Japan,0.20061414198636526
Country_Argentina,0.14382043348097595
Country_Germany,-0.13835665393666396
Country_Canada,0.10057793443229805
Country_Indonesia,0.10021906368716299
Renewable Energy (%),0.09137318924951499
Avg Temperature (Â°C),0.08539194347510014
Sea Level Rise (mm),-0.07312749230579785
Rainfall (mm),-0.0543378125880663
Extreme Weather Events,-0.021269080014947914
Population,-0.020858223454531057
Country_India,-0.009224660838191396
Year,0.002407047157576626
Forest Area (%),0.0020415221727344553
